"id0";"20150729152213";"36.103122";"129.387032";"AF04";"12";
"id1";"20150729152323";"36.103109";"129.387091";"AF02";"15";
"id2";"20150729152353";"36.103089";"129.387150";"AF03";"8";
"id3";"20150729152428";"36.103072";"129.387204";"AF03";"7";
"id4";"20150729152754";"36.103031";"129.387185";"AF03";"278";
"id5";"20150729152853";"36.103005";"129.387174";"AF03";"260";
"id6";"20150729153030";"36.102979";"129.387162";"AF02";"228";
"id7";"20150729153112";"36.102957";"129.387151";"AF03";"209";
"id8";"20150729153207";"36.102935";"129.387139";"AF02";"226";
"id9";"20150729153250";"36.102907";"129.387133";"AF03";"205";
"id10";"20150729153400";"36.102872";"129.387135";"AF03";"225";
"id11;"20150729153521";"36.102894";"129.387069";"AF03";"213";
"id12";"20150729153619";"36.102905";"129.387009";"AF03";"224";
"id13";"20150729153711";"36.102884";"129.386986";"AF03";"225";
"id14";"20150729153753";"36.102849";"129.386967";"AF03";"217";
"id15";"20150729153822";"36.102810";"129.386943";"AF03";"224";
"id16";"20150729153855";"36.102779";"129.386929";"AF03";"241";
"id17";"20150729153928";"36.102766";"129.387008";"AF03";"221";
"id18";"20150729154006";"36.102749";"129.387088";"AF03";"254";
"id19";"20150729154107";"36.102787";"129.387115";"AF03";"231";
"id20";"20150729154141";"36.102835";"129.387143";"AF03";"240";
