vertex	distance	producessor
0	0.000162		7
1	0.000231		0
2	0.000280		3
3	0.000205		4
4	0.000136		5
5	0.000062		6
6	0.000000		0
7	0.000082		6
8	0.000396		9
9	0.000343		10
10	0.000275		11
11	0.000231		12
12	0.000212		5
13	0.000243		12
14	0.000285		13
15	0.000360		14
16	0.000429		15
17	0.000728		18
18	0.000657		19
19	0.000625		20
20	0.000592		21
21	0.000560		22
22	0.000528		23
23	0.000500		24
24	0.000462		25
25	0.000415		26
26	0.000358		27
27	0.000274		46
28	0.000332		27
29	0.000394		28
30	0.000450		29
31	0.000527		30
32	0.000854		33
33	0.000794		34
34	0.000732		35
35	0.000675		36
36	0.000630		37
37	0.000602		38
38	0.000573		39
39	0.000548		40
40	0.000523		41
41	0.000494		42
42	0.000459		43
43	0.000389		44
44	0.000328		45
45	0.000297		46
46	0.000257		11
47	0.000303		46
48	0.000337		47
49	0.000417		48
50	0.000499		49
51	0.000546		50
52	0.000497		42
