vertex	distance	producessor
0	0.000293		1
1	0.000224		2
2	0.000144		3
3	0.000069		4
4	0.000000		0
5	0.000074		4
6	0.000136		5
7	0.000218		6
8	0.000408		9
9	0.000355		10
10	0.000287		11
11	0.000243		12
12	0.000224		5
13	0.000255		12
14	0.000297		13
15	0.000372		14
16	0.000441		15
17	0.000740		18
18	0.000669		19
19	0.000637		20
20	0.000604		21
21	0.000572		22
22	0.000540		23
23	0.000512		24
24	0.000474		25
25	0.000427		26
26	0.000370		27
27	0.000286		46
28	0.000344		27
29	0.000406		28
30	0.000462		29
31	0.000539		30
32	0.000866		33
33	0.000806		34
34	0.000744		35
35	0.000687		36
36	0.000642		37
37	0.000614		38
38	0.000585		39
39	0.000560		40
40	0.000535		41
41	0.000506		42
42	0.000471		43
43	0.000401		44
44	0.000340		45
45	0.000309		46
46	0.000269		11
47	0.000315		46
48	0.000349		47
49	0.000429		48
50	0.000511		49
51	0.000558		50
52	0.000509		42
